music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
,Stop Crying Your Heart Out,8.7,Oasis,Oasis|Britpop|英国|Vincent|2002|欧美|UK|Rock,2002-06-19,https://music.douban.com/subject/4850446/,31
美国小笨笨,American Idiot,9.1,Green Day,GreenDay|Punk|Rock|美国|Single|2004|欧美|摇滚,2004,https://music.douban.com/subject/5293092/,93
,,,,,,,
,,,,,,,
,,,,,,,
,The Hindu Times / Just Getting Older - Limited Edition UK 7 inch single,8.7,Oasis,英国|oasis|Vincent|Oasis|英伦|luv|i|Single,,https://music.douban.com/subject/3540357/,10
,Stop the Clocks,9.5,Oasis,Oasis|Brit-pop|Britpop|2006|英国|英伦摇滚|英伦|绿洲,2006-11-20,https://music.douban.com/subject/3789161/,28
,Some Might Say,8.7,Oasis,Oasis|英国|Vincent|Rock|EP|Britpop|1995|日版,1995-08-10,https://music.douban.com/subject/3843250/,13
,The Shock of the Lightning,8.2,Oasis,Oasis|英国|Rock|2008|Vincent|Britpop|Brit-pop|Brit-Pop,2008-10-07,https://music.douban.com/subject/3791717/,16
,21st Century Breakdown (2-Track),9.3,Green Day,GreenDay|Rock|美国|Punk|Pop-Punk|2009|洋酒|摇滚,2009-11-24,https://music.douban.com/subject/4920831/,31
,GREEN DAY *u.s.a. 1994*,8.6,GREEN DAY,GreenDay|Pop-Punk|Live|朋克|绿日|Rock|Green_Day,1996年,https://music.douban.com/subject/5199995/,21
,The Green Day Collection [iTunes Plus AAC],8.6,Green Day,GreenDay|greenday|美国|punk|rock|摇滚|Punk|Rock,2009-10-22,https://music.douban.com/subject/5394200/,261
,Green day—Boring Days in Paradise,9.1,Green day,GreenDay|美国|朋克|欧美|punk|Rock|green|day,1994,https://music.douban.com/subject/5247336/,55
,Green Day—greendaze,9.3,Green Day,greenday|摇滚|GreenDay|Punk|Rock|Green.Day|美国|欧美,1995年,https://music.douban.com/subject/4826522/,72
,Green day—Attack of Insomnia,9.4,Green day,GreenDay|摇滚|Pop-Punk|Live|Punk,1995年,https://music.douban.com/subject/4827390/,25
,GREEN DAY - Greatest Hits (2 CDs Set),9.3,GREEN DAY,GreenDay|Punk|美国|rock|摇滚|朋克|Rock|英国,,https://music.douban.com/subject/5915132/,132
,V.A./GREEN DAY トリビュート GREEN DAYSII,9.0,GREEN DAY,GreenDay|Punk|Rock|美国|J-punk|音乐|这封面好nb|欧美,2004年,https://music.douban.com/subject/4272757/,61
,Green Day / Japan Live 東京赤坂 2009,9.4,Green Day,GreenDay|Live|美国|摇滚|Rock|Punk|Green_Day|演唱会,2009,https://music.douban.com/subject/4895997/,57
,Shenanigans,9.0,Green Day,GreenDay|Punk|2011|美国|Vincent|Rock|Pop-Punk|2002,2002-07-15,https://music.douban.com/subject/3816302/,42
,21st Century Breakdown,9.1,Green Day,GreenDay|Punk|美国|摇滚|Pop|Rock|Pop-Punk|朋克,2009-05-15,https://music.douban.com/subject/3828287/,139
,Jesus of Suburbia,9.0,Green Day,GreenDay|Punk|Rock|摇滚|USA|Single|2005|美国,2005-11-21,https://music.douban.com/subject/3765961/,87
,Warning,9.1,Green Day,Punk|GreenDay|美国|2000|Rock|组合|Vincent,2000-10-03,https://music.douban.com/subject/4824014/,52
,Boulevard of Broken Dreams,9.5,Green Day,GreenDay|Punk|欧美|美国|摇滚|Rock|洋酒|乐队,,https://music.douban.com/subject/4920834/,159
,Know Your Enemy,8.1,Green Day,GreenDay|Punk|Pop-Punk|Single|Rock|美国|欧美|rock,2009-05-12,https://music.douban.com/subject/3796897/,77
,Boulevard of Broken Dreams 2,9.6,Green Day,GreenDay|Punk|朋克|洋酒|US|Rock|Pop-Punk|美国,2004-12-20,https://music.douban.com/subject/3790488/,62
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Warning (Limited Edition),9.0,Green Day,GreenDay|Punk|欧美|Pop-Punk|Rock|美国|rock|摇滚,2000-12-19,https://music.douban.com/subject/1786857/,364
,Bullet In A Bible,9.3,Green Day,GreenDay|punk|live|rock|美国|摇滚|欧美|Punk,2005,https://music.douban.com/subject/1437949/,5428
,Awesome As Fuck,9.0,Green Day,GreenDay|live|punk|美国|rock|2011|摇滚|Pop-Punk,2011-03-22,https://music.douban.com/subject/5415182/,3892
,Stop the Clocks (with DVD),8.8,Oasis,Oasis|Britpop|Brit-pop|英国|2006|非常棒！|英伦摇滚|英伦,2006-11-21,https://music.douban.com/subject/1901081/,23
